"prior_samples","past_leakage","T1_level_percent","T1_percent","T2_percent","optimal_samples"
9500,10,96,0.176759684,0.8,590.3525968
9500,11,96,0.190087768,0.8,614.6851716
9500,12,96,0.20329338,0.8,639.7762833
9500,13,96,0.216391228,0.8,666.1075852
9500,14,96,0.22939329,0.8,693.4607469
9500,15,96,0.242309475,0.8,720.7877495
9500,16,96,0.255148092,0.8,751.8362211
9500,17,96,0.267916187,0.8,783.0928321
9500,18,96,0.280619801,0.8,815.9991719
9500,19,96,0.293264156,0.8,850.5085642
9500,20,96,0.305853804,0.8,886.8774581
9500,21,96,0.318392744,0.8,925.5595859
9500,22,96,0.330884506,0.8,965.8542859
9500,23,96,0.34333223,0.8,1008.529947
9500,24,96,0.355738721,0.8,1054.259362
9500,25,96,0.3681065,0.8,1102.659773
9500,26,96,0.380437837,0.8,1153.952243
9500,27,96,0.39273479,0.8,1208.67562
9500,28,96,0.40499923,0.8,1236.004642
9500,0,96,0.022196345,0.9,317.7525715
9500,1,96,0.04373459,0.9,343.6955781
9500,2,96,0.061272017,0.9,364.0005583
9500,3,96,0.077364699,0.9,382.1283637
9500,4,96,0.092649272,0.9,399.46631
9500,5,96,0.107399498,0.9,416.5194187
9500,6,96,0.121762648,0.9,433.4631102
9500,7,96,0.135828698,0.9,450.5391952
9500,8,96,0.149657377,0.9,467.8784194
9500,9,96,0.163290731,0.9,485.5420611
9500,10,96,0.176759684,0.9,503.5887648
9500,11,96,0.190087768,0.9,522.1626227
9500,12,96,0.20329338,0.9,541.160332
9500,13,96,0.216391228,0.9,560.8528974
9500,14,96,0.22939329,0.9,581.2078623
9500,15,96,0.242309475,0.9,602.2918037
9500,16,96,0.255148092,0.9,624.1507888
9500,17,96,0.267916187,0.9,646.9358213
9500,18,96,0.280619801,0.9,670.3624634
9500,19,96,0.293264156,0.9,695.1202005
9500,20,96,0.305853804,0.9,720.9138584
9500,21,96,0.318392744,0.9,747.6406749
9500,22,96,0.330884506,0.9,775.7172038
9500,23,96,0.34333223,0.9,804.842276
9500,24,96,0.355738721,0.9,834.4630543
9500,25,96,0.3681065,0.9,868.3308619
9500,26,96,0.380437837,0.9,902.2196589
9500,27,96,0.39273479,0.9,938.0944809
9500,28,96,0.40499923,0.9,975.9013917
9500,0,96,0.022196345,1,285.5761378
9500,1,96,0.04373459,1,308.0346601
9500,2,96,0.061272017,1,324.7932224
9500,3,96,0.077364699,1,340.0286719
9500,4,96,0.092649272,1,354.4132738
9500,5,96,0.107399498,1,368.45553
9500,6,96,0.121762648,1,382.2989147
9500,7,96,0.135828698,1,396.2202965
9500,8,96,0.149657377,1,410.3484915
9500,9,96,0.163290731,1,424.3790828
9500,10,96,0.176759684,1,438.7986818
9500,11,96,0.190087768,1,453.4657395
9500,12,96,0.20329338,1,468.4819473
9500,13,96,0.216391228,1,483.8752044
9500,14,96,0.22939329,1,499.7031732
9500,15,96,0.242309475,1,515.9496322
9500,16,96,0.255148092,1,532.694021
9500,17,96,0.267916187,1,550.0606211
9500,18,96,0.280619801,1,567.953655
9500,19,96,0.293264156,1,586.4456062
9500,20,96,0.305853804,1,605.618061
9500,21,96,0.318392744,1,625.5039947
9500,22,96,0.330884506,1,646.0875583
9500,23,96,0.34333223,1,667.6874993
9500,24,96,0.355738721,1,689.7059429
9500,25,96,0.3681065,1,713.3437073
9500,26,96,0.380437837,1,737.2538198
9500,27,96,0.39273479,1,762.8699766
9500,28,96,0.40499923,1,789.7311391
10000,0,94,0.017684917,0.4,2159.188269
